English,Amharic,Geez,Category
Banana,Muz,,Noun
Flower,Abeba,,Noun
Rose,Tsgereda,,Noun
Pink,Rose,,Noun
fruit,Frafre,,Noun
Tea,Shay,,Noun
Soda/ soft drink,Leslasa/ yeleslasa mettet,,Noun
Alcoholic Drink,Mettett,,Noun
Strawberry,Enjori,,Noun
Lemon,Lomi,,Noun
Pineapple,Ananas,,Noun
Drink,Mettetat,,Verb
Wear,Melbes,,Verb
Wake,Menqat,,Verb
Cook,Mabsel,,Verb
Give,Mestet,,Verb
Receive,Meqebel,,Verb
Jump,Mezlel,,Verb
Come,Memtatt,,Verb
Taste,Meqmes,,Verb
Laugh,Mesaq,,Verb
Count,Mequtter,,Verb
Cry,Malqes,,Verb
