English,Amharic,Geez,Category
Go,Mehed,መሄድ,Verb
Have,Meyaz,መያዝ,Verb
Hear,Madamet,ማዳመጥ,Verb
Hurt,Megudat,መጉዳት,Verb
Know,Maweq,ማወቅ,Verb
Learn,Memar,መማር,Verb
Leave,Metew,መተው,Verb
Listen,Mesmat,መስማት,Verb
Live,Menor,መኖር,Verb
Look,Mayet,ማየት,Verb
Lose,Matfat,ማጥፋት,Verb
Make,Mesrat,መስራት,Verb
Need,Mefeleg,መፈለግ,Verb
Open,Mekfet,መክፈት,Verb
Close,Mezgat,መዝጋት,Verb
Organize,Maderajet,ማጀራጀት,Verb
Pay,Mekfel,መክፈል,Verb
Play,Mechawet,መጫወት,Verb
Put,Maskemet,ማስቀመጥ,Verb
Rain,Mezneb,መዝነብ,Verb
Read,Manbeb,ማንበብ,Verb
Reply,Memeles,መመለስ,Verb
Run,Merott,መሮጥ,Verb
Say,Malet,ማለት,Verb
See,Mayet,ማየት,Verb
Sell,Meshet,መሸጥ,Verb
Send,Melak,መላክ,Verb
Sign,Meferem,መፈረም,Verb
Sing,Mezemer,መዘመር,Verb
Sit,Mekemet,መቀመጥ,Verb
Sleep,meteNat,መተኛት,Verb
Smoke,Maches,ማጨስ,Verb
Speak,Menager,መናገር,Verb
Spend,Mawtat,ማውጣት,Verb
Stand,Maqom,መቆም,Verb
Start/Begin,Mejemer,መጀመር,Verb
Study,Mattinat,ማጥናት,Verb
Succeed,Mesakat,መሳካት,Verb
Swim,Mewagnet,መዋኘት,Verb
Take,Mewsed,መውሰድ,Verb
Talk,Mawrat,ማውራት,Verb
Teach,Mastemar,ማስተማር,Verb
Tell,Menger,መንገር,Verb
Think,Maseb,ማሰብ,Verb
Translate,Metergom,መተርጎም,Verb
Travel,Meguaz,መጉዋዝ,Verb
Try,Memoker,መሞከር,Verb
Turn Off,Matfat,ማጥፋት,Verb
Turn On,Mabrat,ማብራት,Verb
Understand,Meredat,መረዳት,Verb
Use,Metekem,መጠቀም,Verb
Wait,Metebeq,መጠበቅ,Verb
Wake Up,Menqat,መንቃት,Verb
WantMemeNet,መመኘት,Verb
Watch,Mayet,ማየት,Verb
Work,Mesrat,መስራት,Verb
Worry,Mechenek,መጨነቅ,Verb
Write,Metsaf,መጻፍ,Verb
